,itv_start,itv_end,name,itv_level
270,40331.796875,40387.0068125,ml_eeg_rem_sleep,-1
271,40387.0078125,41412.028296875,ml_eeg_active,0
272,41412.029296875,41804.028296875,ml_eeg_deep_sleep,-3
273,41804.029296875,41822.489234375,ml_eeg_rem_sleep,-1
274,41822.490234375,41831.85446875,ml_eeg_active,0
275,41831.85546875,41847.85446875,ml_eeg_light_sleep,-2
276,41847.85546875,42183.85446875,ml_eeg_deep_sleep,-3
277,42183.85546875,42195.85446875,ml_eeg_light_sleep,-2
278,42195.85546875,42237.036109375,ml_eeg_deep_sleep,-3
279,42237.037109375,42282.0380625,ml_eeg_active,0
280,42282.0390625,42372.045875,ml_eeg_deep_sleep,-3
281,42372.046875,42394.547828125,ml_eeg_active,0
282,42394.548828125,42406.547828125,ml_eeg_light_sleep,-2
283,42406.548828125,42549.545875,ml_eeg_deep_sleep,-3
284,42549.546875,46352.1161875,ml_eeg_active,0
285,46352.1171875,46513.387671875,ml_eeg_deep_sleep,-3
286,46513.388671875,46518.387671875,ml_eeg_active,0
287,46518.388671875,46526.387671875,ml_eeg_light_sleep,-2
288,46526.388671875,47166.387671875,ml_eeg_deep_sleep,-3
289,47166.388671875,47186.387671875,ml_eeg_rem_sleep,-1
290,47186.388671875,47190.387671875,ml_eeg_deep_sleep,-3
291,47190.388671875,47202.387671875,ml_eeg_light_sleep,-2
292,47202.388671875,47324.633765625,ml_eeg_deep_sleep,-3
293,47324.634765625,47349.63571875,ml_eeg_active,0
294,47349.63671875,47357.63571875,ml_eeg_light_sleep,-2
295,47357.63671875,47637.344703125,ml_eeg_deep_sleep,-3
296,47637.345703125,47661.344703125,ml_eeg_rem_sleep,-1
297,47661.345703125,47681.344703125,ml_eeg_light_sleep,-2
298,47681.345703125,47793.344703125,ml_eeg_deep_sleep,-3
299,47793.345703125,47805.344703125,ml_eeg_rem_sleep,-1
300,47805.345703125,47966.202125,ml_eeg_deep_sleep,-3
301,47966.203125,48046.202125,ml_eeg_rem_sleep,-1
302,48046.203125,48074.202125,ml_eeg_light_sleep,-2
303,48074.203125,48164.653296875,ml_eeg_deep_sleep,-3
304,48164.654296875,48184.65525,ml_eeg_active,0
305,48184.65625,48340.65525,ml_eeg_deep_sleep,-3
306,48340.65625,48437.153296875,ml_eeg_rem_sleep,-1
307,48437.154296875,48459.65525,ml_eeg_active,0
308,48459.65625,48479.65525,ml_eeg_light_sleep,-2
309,48479.65625,48577.6474375,ml_eeg_deep_sleep,-3
310,48577.6484375,48589.6474375,ml_eeg_light_sleep,-2
311,48589.6484375,48886.4130625,ml_eeg_deep_sleep,-3
312,48886.4140625,48909.12009375,ml_eeg_rem_sleep,-1
313,48909.12109375,48912.665015625,ml_eeg_active,0
314,48912.666015625,49240.665015625,ml_eeg_deep_sleep,-3
315,49240.666015625,49277.5380625,ml_eeg_rem_sleep,-1
316,49277.5390625,49286.3661875,ml_eeg_active,0
317,49286.3671875,49302.3661875,ml_eeg_light_sleep,-2
318,49302.3671875,49314.3661875,ml_eeg_deep_sleep,-3
319,49314.3671875,49330.3661875,ml_eeg_light_sleep,-2
320,49330.3671875,49344.672828125,ml_eeg_deep_sleep,-3
321,49344.673828125,50374.6943125,ml_eeg_active,0
322,50374.6953125,50615.829078125,ml_eeg_deep_sleep,-3
323,50615.830078125,50625.438453125,ml_eeg_active,0
324,50625.439453125,50641.438453125,ml_eeg_light_sleep,-2
